ст,но ↔ цл,ял | a=899, b=848, score=-1000000000.0000
ст,но ↔ цл,ае | a=606, b=46, score=-619.4720
ст,но ↔ цл,ле | a=761, b=139, score=-1806.2785
ст,но ↔ цл,чо | a=255, b=102, score=-2018.4019
ст,но ↔ ял,цл | a=62, b=786, score=-1000000000.0000
ст,но ↔ ял,ае | a=668, b=139, score=-621.8093
ст,но ↔ ял,ле | a=823, b=232, score=-1209.9817
ст,но ↔ ял,чо | a=317, b=195, score=-1623.9074
ст,но ↔ ае,цл | a=355, b=652, score=-4271.0208
ст,но ↔ ае,ял | a=293, b=807, score=-67.0783
ст,но ↔ ае,ле | a=155, b=98, score=-1000000000.0000
ст,но ↔ ае,чо | a=610, b=61, score=-3914.4452
ст,но ↔ ле,цл | a=200, b=900, score=179.8944
ст,но ↔ ле,ял | a=138, b=94, score=-1565.0225
ст,но ↔ ле,ае | a=806, b=253, score=-1000000000.0000
ст,но ↔ ле,чо | a=455, b=309, score=-413.8257
ст,но ↔ чо,цл | a=706, b=357, score=-2106.8699
ст,но ↔ чо,ял | a=644, b=512, score=-1210.3900
ст,но ↔ чо,ае | a=351, b=671, score=-5222.8091
ст,но ↔ чо,ле | a=506, b=764, score=-2020.3027
ст,то ↔ цл,ял | a=899, b=848, score=-1000000000.0000
ст,то ↔ цл,ае | a=544, b=201, score=-1308.7989
ст,то ↔ цл,ле | a=699, b=294, score=-1518.8806
ст,то ↔ цл,чо | a=286, b=505, score=-4623.8369
ст,то ↔ ял,цл | a=62, b=786, score=-1000000000.0000
ст,то ↔ ял,ае | a=606, b=294, score=-1516.0363
ст,то ↔ ял,ле | a=761, b=387, score=-422.7527
ст,то ↔ ял,чо | a=348, b=598, score=-2418.5990
ст,то ↔ ае,цл | a=417, b=497, score=-474.9211
ст,то ↔ ае,ял | a=355, b=652, score=-4271.0208
ст,то ↔ ае,ле | a=155, b=98, score=-1000000000.0000
ст,то ↔ ае,чо | a=703, b=309, score=-1214.0228
ст,то ↔ ле,цл | a=262, b=745, score=-169.0073
ст,то ↔ ле,ял | a=200, b=900, score=179.8944
ст,то ↔ ле,ае | a=806, b=253, score=-1000000000.0000
ст,то ↔ ле,чо | a=548, b=557, score=-512.3613
ст,то ↔ чо,цл | a=675, b=915, score=-2609.0805
ст,то ↔ чо,ял | a=613, b=109, score=-1815.2478
ст,то ↔ чо,ае | a=258, b=423, score=-6221.8938
ст,то ↔ чо,ле | a=413, b=516, score=-6124.8226
ст,на ↔ цл,ял | a=93, b=941, score=-1000000000.0000
ст,на ↔ цл,ае | a=641, b=191, score=-208.5736
ст,на ↔ цл,ле | a=889, b=532, score=-508.6159
ст,на ↔ цл,чо | a=284, b=634, score=-314.0791
ст,на ↔ ял,цл | a=868, b=693, score=-1000000000.0000
ст,на ↔ ял,ае | a=548, b=191, score=-2212.0938
ст,на ↔ ял,ле | a=796, b=532, score=-408.6722
ст,на ↔ ял,чо | a=191, b=634, score=-2009.4044
ст,на ↔ ае,цл | a=320, b=507, score=-111.0096
ст,на ↔ ае,ял | a=413, b=755, score=-413.2202
ст,на ↔ ае,ле | a=248, b=346, score=-1000000000.0000
ст,на ↔ ае,чо | a=604, b=448, score=-1756.0251
